
  1%|█▍                                                                                                                            | 1113/100000 [00:22<24:49, 66.39it/s]
epoch 83600  training loss: 0.031491316854953766


 84%|████████████████████████████████████████████████████████████████████████████████████████████████████████▋                    | 83710/100000 [31:36<06:24, 42.32it/s]
epoch 83700  training loss: 0.028437672182917595

 84%|████████████████████████████████████████████████████████████████████████████████████████████████████████▋                    | 83795/100000 [31:38<06:27, 41.85it/s]
epoch 83800  training loss: 0.02670689858496189

 84%|████████████████████████████████████████████████████████████████████████████████████████████████████████▊                    | 83875/100000 [31:40<06:30, 41.30it/s]
epoch 83900  training loss: 0.026676824316382408

 84%|████████████████████████████████████████████████████████████████████████████████████████████████████████▉                    | 83960/100000 [31:42<06:18, 42.38it/s]
epoch 84000  training loss: 0.027267633005976677
epoch 84000  clean testing loss: 0.15608546137809753

 84%|█████████████████████████████████████████████████████████████████████████████████████████████████████████                    | 84045/100000 [31:44<06:24, 41.48it/s]
epoch 84100  training loss: 0.027370747178792953


 84%|█████████████████████████████████████████████████████████████████████████████████████████████████████████▎                   | 84215/100000 [31:48<06:17, 41.82it/s]
epoch 84200  training loss: 0.0340278223156929

 84%|█████████████████████████████████████████████████████████████████████████████████████████████████████████▎                   | 84295/100000 [31:50<06:15, 41.86it/s]
epoch 84300  training loss: 0.043844614177942276

 84%|█████████████████████████████████████████████████████████████████████████████████████████████████████████▍                   | 84380/100000 [31:52<06:14, 41.76it/s]
epoch 84400  training loss: 0.035103462636470795

 84%|█████████████████████████████████████████████████████████████████████████████████████████████████████████▌                   | 84445/100000 [31:53<06:08, 42.26it/s]
epoch 84500  training loss: 0.03180767595767975

 85%|█████████████████████████████████████████████████████████████████████████████████████████████████████████▋                   | 84530/100000 [31:55<06:03, 42.53it/s]
epoch 84600  training loss: 0.028228698298335075


 85%|█████████████████████████████████████████████████████████████████████████████████████████████████████████▉                   | 84700/100000 [31:59<06:00, 42.39it/s]
epoch 84700  training loss: 0.03014104627072811

 85%|█████████████████████████████████████████████████████████████████████████████████████████████████████████▉                   | 84785/100000 [32:01<06:06, 41.53it/s]
epoch 84800  training loss: 0.03258657455444336

 85%|██████████████████████████████████████████████████████████████████████████████████████████████████████████                   | 84870/100000 [32:03<05:56, 42.39it/s]
epoch 84900  training loss: 0.03567305952310562

 85%|██████████████████████████████████████████████████████████████████████████████████████████████████████████▏                  | 84955/100000 [32:05<05:53, 42.57it/s]
epoch 85000  training loss: 0.04598655924201012
epoch 85000  clean testing loss: 0.1638888716697693

 85%|██████████████████████████████████████████████████████████████████████████████████████████████████████████▎                  | 85040/100000 [32:07<06:02, 41.27it/s]
epoch 85100  training loss: 0.04223385825753212

 85%|██████████████████████████████████████████████████████████████████████████████████████████████████████████▍                  | 85125/100000 [32:09<05:49, 42.51it/s]
epoch 85200  training loss: 0.03914667293429375


 85%|██████████████████████████████████████████████████████████████████████████████████████████████████████████▌                  | 85290/100000 [32:13<05:53, 41.67it/s]
epoch 85300  training loss: 0.038016434758901596

 85%|██████████████████████████████████████████████████████████████████████████████████████████████████████████▋                  | 85375/100000 [32:15<05:52, 41.53it/s]
epoch 85400  training loss: 0.031935542821884155

 85%|██████████████████████████████████████████████████████████████████████████████████████████████████████████▊                  | 85460/100000 [32:17<05:42, 42.41it/s]
epoch 85500  training loss: 0.027386436238884926

 86%|██████████████████████████████████████████████████████████████████████████████████████████████████████████▉                  | 85545/100000 [32:19<05:39, 42.55it/s]
epoch 85600  training loss: 0.02546820044517517

 86%|███████████████████████████████████████████████████████████████████████████████████████████████████████████                  | 85630/100000 [32:21<05:41, 42.09it/s]
epoch 85700  training loss: 0.026130255311727524


 86%|███████████████████████████████████████████████████████████████████████████████████████████████████████████▏                 | 85795/100000 [32:25<05:40, 41.69it/s]
epoch 85800  training loss: 0.028540650382637978

 86%|███████████████████████████████████████████████████████████████████████████████████████████████████████████▎                 | 85880/100000 [32:27<05:37, 41.87it/s]
epoch 85900  training loss: 0.028594207018613815

 86%|███████████████████████████████████████████████████████████████████████████████████████████████████████████▍                 | 85965/100000 [32:29<05:32, 42.24it/s]
epoch 86000  training loss: 0.027081472799181938
epoch 86000  clean testing loss: 0.1545468270778656

 86%|███████████████████████████████████████████████████████████████████████████████████████████████████████████▌                 | 86050/100000 [32:31<05:33, 41.88it/s]
epoch 86100  training loss: 0.02584739960730076

 86%|███████████████████████████████████████████████████████████████████████████████████████████████████████████▋                 | 86135/100000 [32:33<05:25, 42.54it/s]
epoch 86200  training loss: 0.026822607964277267


 86%|███████████████████████████████████████████████████████████████████████████████████████████████████████████▉                 | 86305/100000 [32:37<05:22, 42.51it/s]
epoch 86300  training loss: 0.02728007175028324

 86%|███████████████████████████████████████████████████████████████████████████████████████████████████████████▉                 | 86390/100000 [32:39<05:22, 42.20it/s]
epoch 86400  training loss: 0.02816450409591198

 86%|████████████████████████████████████████████████████████████████████████████████████████████████████████████                 | 86475/100000 [32:41<05:19, 42.34it/s]
epoch 86500  training loss: 0.0307453665882349

 87%|████████████████████████████████████████████████████████████████████████████████████████████████████████████▏                | 86560/100000 [32:43<05:18, 42.18it/s]
epoch 86600  training loss: 0.028640352189540863

 87%|████████████████████████████████████████████████████████████████████████████████████████████████████████████▎                | 86645/100000 [32:45<05:13, 42.55it/s]
epoch 86700  training loss: 0.027188267558813095

 87%|████████████████████████████████████████████████████████████████████████████████████████████████████████████▍                | 86730/100000 [32:47<05:11, 42.55it/s]
epoch 86800  training loss: 0.029689153656363487


 87%|████████████████████████████████████████████████████████████████████████████████████████████████████████████▋                | 86900/100000 [32:51<05:09, 42.32it/s]
epoch 86900  training loss: 0.025570396333932877

 87%|████████████████████████████████████████████████████████████████████████████████████████████████████████████▋                | 86985/100000 [32:53<05:08, 42.25it/s]
epoch 87000  training loss: 0.02762080729007721
epoch 87000  clean testing loss: 0.15198151767253876

 87%|████████████████████████████████████████████████████████████████████████████████████████████████████████████▊                | 87065/100000 [32:55<05:07, 42.00it/s]
epoch 87100  training loss: 0.025564022362232208

 87%|████████████████████████████████████████████████████████████████████████████████████████████████████████████▉                | 87150/100000 [32:57<05:03, 42.38it/s]
epoch 87200  training loss: 0.02803736925125122

 87%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████                | 87235/100000 [32:59<05:00, 42.55it/s]
epoch 87300  training loss: 0.028239605948328972


 87%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████▎               | 87405/100000 [33:03<04:57, 42.35it/s]
epoch 87400  training loss: 0.028852738440036774

 87%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████▎               | 87490/100000 [33:05<04:53, 42.58it/s]
epoch 87500  training loss: 0.0261154193431139

 88%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████▍               | 87575/100000 [33:07<04:58, 41.57it/s]
epoch 87600  training loss: 0.02868267521262169

 88%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████▌               | 87660/100000 [33:10<04:53, 42.00it/s]
epoch 87700  training loss: 0.029229100793600082

 88%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████▋               | 87745/100000 [33:12<04:50, 42.19it/s]
epoch 87800  training loss: 0.027012798935174942


 88%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████▉               | 87910/100000 [33:15<04:50, 41.63it/s]
epoch 87900  training loss: 0.02971470355987549

 88%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████▉               | 87995/100000 [33:17<04:45, 42.07it/s]
epoch 88000  training loss: 0.027522511780261993
epoch 88000  clean testing loss: 0.1540796011686325

 88%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████               | 88080/100000 [33:20<04:40, 42.44it/s]
epoch 88100  training loss: 0.02721036970615387

 88%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████▏              | 88165/100000 [33:22<04:43, 41.80it/s]
epoch 88200  training loss: 0.03008631244301796

 88%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████▎              | 88250/100000 [33:24<04:42, 41.66it/s]
epoch 88300  training loss: 0.028334295377135277

 88%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████▍              | 88330/100000 [33:26<04:40, 41.53it/s]
epoch 88400  training loss: 0.027815164998173714


 88%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████▋              | 88500/100000 [33:30<04:33, 42.06it/s]
epoch 88500  training loss: 0.03058508038520813

 89%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████▋              | 88585/100000 [33:32<04:29, 42.30it/s]
epoch 88600  training loss: 0.02944130077958107

 89%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████▊              | 88670/100000 [33:34<04:31, 41.70it/s]
epoch 88700  training loss: 0.029614202678203583

 89%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████▉              | 88755/100000 [33:36<04:33, 41.14it/s]
epoch 88800  training loss: 0.02850901149213314

 89%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████              | 88840/100000 [33:38<04:22, 42.48it/s]
epoch 88900  training loss: 0.027317361906170845


 89%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████▎             | 89010/100000 [33:42<04:21, 42.09it/s]
epoch 89000  training loss: 0.026016682386398315
epoch 89000  clean testing loss: 0.15437880158424377

 89%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████▎             | 89095/100000 [33:44<04:21, 41.76it/s]
epoch 89100  training loss: 0.02771426923573017

 89%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████▍             | 89175/100000 [33:46<04:18, 41.83it/s]
epoch 89200  training loss: 0.026463063433766365

 89%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████▌             | 89260/100000 [33:48<04:16, 41.89it/s]
epoch 89300  training loss: 0.032345596700906754

 89%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████▋             | 89345/100000 [33:50<04:11, 42.42it/s]
epoch 89400  training loss: 0.030026085674762726


 90%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████▉             | 89515/100000 [33:54<04:12, 41.54it/s]
epoch 89500  training loss: 0.02875843271613121

 90%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████             | 89600/100000 [33:56<04:04, 42.52it/s]
epoch 89600  training loss: 0.03703482821583748

 90%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████             | 89680/100000 [33:58<04:05, 41.99it/s]
epoch 89700  training loss: 0.03789764642715454

 90%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████▏            | 89765/100000 [34:00<04:03, 42.04it/s]
epoch 89800  training loss: 0.02842458337545395

 90%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎            | 89850/100000 [34:02<03:59, 42.47it/s]
epoch 89900  training loss: 0.027002030983567238


 90%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████▌            | 90020/100000 [34:06<04:00, 41.45it/s]
epoch 90000  training loss: 0.02541525475680828
epoch 90000  clean testing loss: 0.14890846610069275

 90%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████▋            | 90105/100000 [34:08<03:56, 41.86it/s]
epoch 90100  training loss: 0.03130541741847992

 90%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████▋            | 90185/100000 [34:10<03:53, 42.05it/s]
epoch 90200  training loss: 0.04659935086965561

 90%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████▊            | 90270/100000 [34:12<03:50, 42.28it/s]
epoch 90300  training loss: 0.027678804472088814

 90%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████▉            | 90355/100000 [34:14<03:46, 42.54it/s]
epoch 90400  training loss: 0.025497864931821823

 90%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████            | 90440/100000 [34:16<03:52, 41.07it/s]
epoch 90500  training loss: 0.032403793185949326


 91%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎           | 90610/100000 [34:20<03:42, 42.17it/s]
epoch 90600  training loss: 0.03372160345315933

 91%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎           | 90695/100000 [34:22<03:42, 41.81it/s]
epoch 90700  training loss: 0.025852428749203682

 91%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████▍           | 90780/100000 [34:24<03:39, 41.93it/s]
epoch 90800  training loss: 0.040331386029720306

 91%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████▌           | 90860/100000 [34:26<03:39, 41.56it/s]
epoch 90900  training loss: 0.02919117547571659

 91%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████▋           | 90945/100000 [34:28<03:39, 41.22it/s]
epoch 91000  training loss: 0.024920029565691948
epoch 91000  clean testing loss: 0.1486254334449768


 91%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████▉           | 91115/100000 [34:32<03:29, 42.36it/s]
epoch 91100  training loss: 0.03368985280394554

 91%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████           | 91200/100000 [34:34<03:27, 42.51it/s]
epoch 91200  training loss: 0.027742750942707062

 91%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████           | 91285/100000 [34:36<03:28, 41.90it/s]
epoch 91300  training loss: 0.03236035630106926

 91%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████▏          | 91370/100000 [34:38<03:26, 41.88it/s]
epoch 91400  training loss: 0.02772688865661621

 91%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎          | 91455/100000 [34:40<03:18, 43.12it/s]
epoch 91500  training loss: 0.03994351997971535


 92%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████▌          | 91625/100000 [34:44<03:17, 42.40it/s]
epoch 91600  training loss: 0.025337256491184235

 92%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████▋          | 91710/100000 [34:46<03:18, 41.73it/s]
epoch 91700  training loss: 0.0329524464905262

 92%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████▋          | 91795/100000 [34:48<03:14, 42.25it/s]
epoch 91800  training loss: 0.039881836622953415

 92%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████▊          | 91875/100000 [34:50<03:14, 41.79it/s]
epoch 91900  training loss: 0.02670135907828808

 92%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████▉          | 91940/100000 [34:51<03:13, 41.68it/s]
epoch 92000  training loss: 0.029691845178604126
epoch 92000  clean testing loss: 0.1466137021780014

 92%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████          | 92025/100000 [34:53<03:09, 41.99it/s]
epoch 92100  training loss: 0.03730329871177673


 92%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████▏         | 92195/100000 [34:57<03:03, 42.52it/s]
epoch 92200  training loss: 0.02668163739144802

 92%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎         | 92280/100000 [34:59<03:01, 42.50it/s]
epoch 92300  training loss: 0.029219262301921844

 92%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████▍         | 92365/100000 [35:01<03:00, 42.31it/s]
epoch 92400  training loss: 0.04565725848078728

 92%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████▌         | 92445/100000 [35:03<03:02, 41.50it/s]
epoch 92500  training loss: 0.026595143601298332

 93%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████▋         | 92530/100000 [35:05<02:57, 42.15it/s]
epoch 92600  training loss: 0.025245381519198418


 93%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████▉         | 92700/100000 [35:09<02:52, 42.44it/s]
epoch 92700  training loss: 0.04490594565868378

 93%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████▉         | 92785/100000 [35:11<02:51, 42.03it/s]
epoch 92800  training loss: 0.029433300718665123

 93%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████         | 92870/100000 [35:14<02:49, 42.09it/s]
epoch 92900  training loss: 0.034375060349702835

 93%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▏        | 92950/100000 [35:15<02:49, 41.57it/s]
epoch 93000  training loss: 0.02653689868748188
epoch 93000  clean testing loss: 0.1515900045633316

 93%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎        | 93035/100000 [35:17<02:47, 41.46it/s]
epoch 93100  training loss: 0.027624208480119705


 93%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▌        | 93205/100000 [35:22<02:39, 42.49it/s]
epoch 93200  training loss: 0.039904654026031494

 93%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▌        | 93290/100000 [35:24<02:39, 42.04it/s]
epoch 93300  training loss: 0.027693070471286774

 93%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▋        | 93375/100000 [35:26<02:36, 42.42it/s]
epoch 93400  training loss: 0.04355020448565483

 93%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▊        | 93460/100000 [35:28<02:37, 41.52it/s]
epoch 93500  training loss: 0.027622178196907043

 94%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▉        | 93540/100000 [35:29<02:32, 42.49it/s]
epoch 93600  training loss: 0.02742241509258747

 94%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████        | 93630/100000 [35:32<02:28, 42.83it/s]
